REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"R","D1","HYD","WAT",2020,1.2
"R","D1","HYD","WAT",2021,1.293456
"R","D1","HYD","WAT",2022,1.16183
"R","D1","HYD","WAT",2023,1.25232
"R","D1","HYD","WAT",2024,1.34986
"R","D1","HYD","WAT",2025,1.45499
"R","D1","HYD","WAT",2026,1.56831
"R","D1","HYD","WAT",2027,1.69046
"R","D1","HYD","WAT",2028,1.82212
"R","D1","HYD","WAT",2029,1.96403
"R","D1","HYD","WAT",2030,2.117
"R","D1","HYD","WAT",2031,2.738256
"R","D1","HYD","WAT",2032,2.95152
"R","D1","HYD","WAT",2033,3.181404
"R","D1","HYD","WAT",2034,3.42918
"R","D1","HYD","WAT",2035,3.696264
"R","D1","HYD","WAT",2036,3.984144
"R","D1","HYD","WAT",2037,4.29444
"R","D1","HYD","WAT",2038,4.628916
"R","D1","HYD","WAT",2039,4.989432
"R","D1","HYD","WAT",2040,4.48169
"R","D1","HYD","WAT",2041,5.796888
"R","D1","HYD","WAT",2042,6.248376
"R","D1","HYD","WAT",2043,6.735024
"R","D1","HYD","WAT",2044,6.04965
"R","D1","HYD","WAT",2045,7.824984
"R","D1","HYD","WAT",2046,8.434428
"R","D1","HYD","WAT",2047,9.091332
"R","D1","HYD","WAT",2048,9.799404
"R","D1","HYD","WAT",2049,10.562628
"R","D1","HYD","WAT",2050,9.48774
"R","N1","HYD","WAT",2020,1.2
"R","N1","HYD","WAT",2021,1.293456
"R","N1","HYD","WAT",2022,1.16183
"R","N1","HYD","WAT",2023,1.502784
"R","N1","HYD","WAT",2024,1.619832
"R","N1","HYD","WAT",2025,1.745988
"R","N1","HYD","WAT",2026,1.881972
"R","N1","HYD","WAT",2027,2.028552
"R","N1","HYD","WAT",2028,1.82212
"R","N1","HYD","WAT",2029,2.356836
"R","N1","HYD","WAT",2030,2.117
"R","N1","HYD","WAT",2031,2.28188
"R","N1","HYD","WAT",2032,2.4596
"R","N1","HYD","WAT",2033,2.65117
"R","N1","HYD","WAT",2034,2.85765
"R","N1","HYD","WAT",2035,3.08022
"R","N1","HYD","WAT",2036,3.32012
"R","N1","HYD","WAT",2037,3.5787
"R","N1","HYD","WAT",2038,3.85743
"R","N1","HYD","WAT",2039,4.15786
"R","N1","HYD","WAT",2040,4.48169
"R","N1","HYD","WAT",2041,5.796888
"R","N1","HYD","WAT",2042,5.20698
"R","N1","HYD","WAT",2043,6.735024
"R","N1","HYD","WAT",2044,7.25958
"R","N1","HYD","WAT",2045,6.52082
"R","N1","HYD","WAT",2046,7.02869
"R","N1","HYD","WAT",2047,7.57611
"R","N1","HYD","WAT",2048,8.16617
"R","N1","HYD","WAT",2049,10.562628
"R","N1","HYD","WAT",2050,11.385288
"R","D2","HYD","WAT",2020,1.2
"R","D2","HYD","WAT",2021,1.293456
"R","D2","HYD","WAT",2022,1.394196
"R","D2","HYD","WAT",2023,1.502784
"R","D2","HYD","WAT",2024,1.619832
"R","D2","HYD","WAT",2025,1.745988
"R","D2","HYD","WAT",2026,1.881972
"R","D2","HYD","WAT",2027,2.028552
"R","D2","HYD","WAT",2028,2.186544
"R","D2","HYD","WAT",2029,2.356836
"R","D2","HYD","WAT",2030,2.5404
"R","D2","HYD","WAT",2031,2.738256
"R","D2","HYD","WAT",2032,2.95152
"R","D2","HYD","WAT",2033,3.181404
"R","D2","HYD","WAT",2034,3.42918
"R","D2","HYD","WAT",2035,3.696264
"R","D2","HYD","WAT",2036,3.984144
"R","D2","HYD","WAT",2037,4.29444
"R","D2","HYD","WAT",2038,4.628916
"R","D2","HYD","WAT",2039,4.989432
"R","D2","HYD","WAT",2040,5.378028
"R","D2","HYD","WAT",2041,5.796888
"R","D2","HYD","WAT",2042,6.248376
"R","D2","HYD","WAT",2043,6.735024
"R","D2","HYD","WAT",2044,7.25958
"R","D2","HYD","WAT",2045,7.824984
"R","D2","HYD","WAT",2046,8.434428
"R","D2","HYD","WAT",2047,9.091332
"R","D2","HYD","WAT",2048,9.799404
"R","D2","HYD","WAT",2049,10.562628
"R","D2","HYD","WAT",2050,11.385288
"R","N2","HYD","WAT",2020,0.8
"R","N2","HYD","WAT",2021,0.862304
"R","N2","HYD","WAT",2022,0.929464
"R","N2","HYD","WAT",2023,1.001856
"R","N2","HYD","WAT",2024,1.079888
"R","N2","HYD","WAT",2025,1.163992
"R","N2","HYD","WAT",2026,1.254648
"R","N2","HYD","WAT",2027,1.352368
"R","N2","HYD","WAT",2028,1.457696
"R","N2","HYD","WAT",2029,1.571224
"R","N2","HYD","WAT",2030,1.6936
"R","N2","HYD","WAT",2031,1.825504
"R","N2","HYD","WAT",2032,1.96768
"R","N2","HYD","WAT",2033,2.120936
"R","N2","HYD","WAT",2034,2.28612
"R","N2","HYD","WAT",2035,2.464176
"R","N2","HYD","WAT",2036,2.656096
"R","N2","HYD","WAT",2037,2.86296
"R","N2","HYD","WAT",2038,3.085944
"R","N2","HYD","WAT",2039,3.326288
"R","N2","HYD","WAT",2040,3.585352
"R","N2","HYD","WAT",2041,3.864592
"R","N2","HYD","WAT",2042,4.165584
"R","N2","HYD","WAT",2043,4.490016
"R","N2","HYD","WAT",2044,4.83972
"R","N2","HYD","WAT",2045,5.216656
"R","N2","HYD","WAT",2046,5.622952
"R","N2","HYD","WAT",2047,6.060888
"R","N2","HYD","WAT",2048,9.799404
"R","N2","HYD","WAT",2049,7.041752
"R","N2","HYD","WAT",2050,7.590192
"R","D3","HYD","WAT",2020,1
"R","D3","HYD","WAT",2021,1.07788
"R","D3","HYD","WAT",2022,1.16183
"R","D3","HYD","WAT",2023,1.25232
"R","D3","HYD","WAT",2024,1.34986
"R","D3","HYD","WAT",2025,1.45499
"R","D3","HYD","WAT",2026,1.56831
"R","D3","HYD","WAT",2027,1.69046
"R","D3","HYD","WAT",2028,1.82212
"R","D3","HYD","WAT",2029,1.96403
"R","D3","HYD","WAT",2030,2.117
"R","D3","HYD","WAT",2031,2.28188
"R","D3","HYD","WAT",2032,2.4596
"R","D3","HYD","WAT",2033,2.65117
"R","D3","HYD","WAT",2034,2.85765
"R","D3","HYD","WAT",2035,3.08022
"R","D3","HYD","WAT",2036,3.32012
"R","D3","HYD","WAT",2037,3.5787
"R","D3","HYD","WAT",2038,3.85743
"R","D3","HYD","WAT",2039,4.15786
"R","D3","HYD","WAT",2040,4.48169
"R","D3","HYD","WAT",2041,4.83074
"R","D3","HYD","WAT",2042,5.20698
"R","D3","HYD","WAT",2043,5.61252
"R","D3","HYD","WAT",2044,6.04965
"R","D3","HYD","WAT",2045,6.52082
"R","D3","HYD","WAT",2046,7.02869
"R","D3","HYD","WAT",2047,7.57611
"R","D3","HYD","WAT",2048,8.16617
"R","D3","HYD","WAT",2049,8.80219
"R","D3","HYD","WAT",2050,9.48774
"R","N3","HYD","WAT",2020,1.2
"R","N3","HYD","WAT",2021,1.293456
"R","N3","HYD","WAT",2022,1.394196
"R","N3","HYD","WAT",2023,1.502784
"R","N3","HYD","WAT",2024,1.619832
"R","N3","HYD","WAT",2025,1.745988
"R","N3","HYD","WAT",2026,1.881972
"R","N3","HYD","WAT",2027,2.028552
"R","N3","HYD","WAT",2028,2.186544
"R","N3","HYD","WAT",2029,2.356836
"R","N3","HYD","WAT",2030,2.5404
"R","N3","HYD","WAT",2031,2.738256
"R","N3","HYD","WAT",2032,2.95152
"R","N3","HYD","WAT",2033,3.181404
"R","N3","HYD","WAT",2034,3.42918
"R","N3","HYD","WAT",2035,3.696264
"R","N3","HYD","WAT",2036,3.984144
"R","N3","HYD","WAT",2037,4.29444
"R","N3","HYD","WAT",2038,4.628916
"R","N3","HYD","WAT",2039,4.989432
"R","N3","HYD","WAT",2040,5.378028
"R","N3","HYD","WAT",2041,5.796888
"R","N3","HYD","WAT",2042,6.248376
"R","N3","HYD","WAT",2043,6.735024
"R","N3","HYD","WAT",2044,7.25958
"R","N3","HYD","WAT",2045,7.824984
"R","N3","HYD","WAT",2046,8.434428
"R","N3","HYD","WAT",2047,9.091332
"R","N3","HYD","WAT",2048,9.799404
"R","N3","HYD","WAT",2049,10.562628
"R","N3","HYD","WAT",2050,11.385288
"R","D4","HYD","WAT",2020,1.2
"R","D4","HYD","WAT",2021,1.293456
"R","D4","HYD","WAT",2022,1.394196
"R","D4","HYD","WAT",2023,1.502784
"R","D4","HYD","WAT",2024,1.619832
"R","D4","HYD","WAT",2025,1.745988
"R","D4","HYD","WAT",2026,1.881972
"R","D4","HYD","WAT",2027,2.028552
"R","D4","HYD","WAT",2028,2.186544
"R","D4","HYD","WAT",2029,2.356836
"R","D4","HYD","WAT",2030,2.5404
"R","D4","HYD","WAT",2031,2.738256
"R","D4","HYD","WAT",2032,2.95152
"R","D4","HYD","WAT",2033,3.181404
"R","D4","HYD","WAT",2034,3.42918
"R","D4","HYD","WAT",2035,3.696264
"R","D4","HYD","WAT",2036,3.984144
"R","D4","HYD","WAT",2037,4.29444
"R","D4","HYD","WAT",2038,4.628916
"R","D4","HYD","WAT",2039,4.989432
"R","D4","HYD","WAT",2040,5.378028
"R","D4","HYD","WAT",2041,5.796888
"R","D4","HYD","WAT",2042,6.248376
"R","D4","HYD","WAT",2043,6.735024
"R","D4","HYD","WAT",2044,7.25958
"R","D4","HYD","WAT",2045,7.824984
"R","D4","HYD","WAT",2046,8.434428
"R","D4","HYD","WAT",2047,9.091332
"R","D4","HYD","WAT",2048,9.799404
"R","D4","HYD","WAT",2049,10.562628
"R","D4","HYD","WAT",2050,11.385288
"R","N4","HYD","WAT",2020,1.2
"R","N4","HYD","WAT",2021,0.862304
"R","N4","HYD","WAT",2022,1.394196
"R","N4","HYD","WAT",2023,1.001856
"R","N4","HYD","WAT",2024,1.619832
"R","N4","HYD","WAT",2025,1.163992
"R","N4","HYD","WAT",2026,1.881972
"R","N4","HYD","WAT",2027,1.352368
"R","N4","HYD","WAT",2028,2.186544
"R","N4","HYD","WAT",2029,2.356836
"R","N4","HYD","WAT",2030,2.5404
"R","N4","HYD","WAT",2031,2.738256
"R","N4","HYD","WAT",2032,2.95152
"R","N4","HYD","WAT",2033,3.181404
"R","N4","HYD","WAT",2034,3.42918
"R","N4","HYD","WAT",2035,3.696264
"R","N4","HYD","WAT",2036,3.984144
"R","N4","HYD","WAT",2037,4.29444
"R","N4","HYD","WAT",2038,4.628916
"R","N4","HYD","WAT",2039,4.989432
"R","N4","HYD","WAT",2040,5.378028
"R","N4","HYD","WAT",2041,5.796888
"R","N4","HYD","WAT",2042,6.248376
"R","N4","HYD","WAT",2043,4.490016
"R","N4","HYD","WAT",2044,4.83972
"R","N4","HYD","WAT",2045,7.824984
"R","N4","HYD","WAT",2046,8.434428
"R","N4","HYD","WAT",2047,9.091332
"R","N4","HYD","WAT",2048,9.799404
"R","N4","HYD","WAT",2049,10.562628
"R","N4","HYD","WAT",2050,7.59019199999998
